TABLE_NAME	TABLE_ROWS	DATA_LENGTH	CREATE_TIME
adm_stu	0	16384	2026-01-25 07:37:45
adm_stu_neis	0	16384	2026-01-25 07:37:14
admission_consultation	0	16384	2026-02-22 01:11:52
admission_csat_score	0	16384	2026-02-18 02:21:28
admission_data	672	1589248	2026-02-18 10:36:55
admission_mock_exam	0	16384	2026-02-18 02:21:28
admission_student_record	0	16384	2026-02-18 02:21:28
afterschool_attendance	0	16384	2026-02-25 01:14:51
afterschool_enrollment	0	16384	2026-02-25 01:14:51
afterschool_program	0	16384	2026-02-25 01:14:51
afterschool_session	0	16384	2026-02-25 01:14:51
attendance	9	16384	2026-02-22 08:34:52
calendar_events	0	16384	2026-01-25 07:36:36
class_maker_config	0	16384	2026-02-18 16:16:08
class_maker_constraints	0	16384	2026-02-18 16:16:08
class_maker_result	750	81920	2026-02-18 16:16:08
club_common_activity	7	16384	2026-02-13 08:36:59
club_files	12	16384	2026-02-25 08:06:53
club_list	4	16384	2026-02-17 19:20:57
club_record	5	16384	2026-02-13 08:44:22
counsel_files	3	16384	2026-02-12 09:23:27
cours_subject	190	16384	2026-01-24 22:41:11
dept_category	163	16384	2026-02-18 11:09:29
dept_master	0	16384	2026-02-18 06:06:00
fm_all	753	131072	2026-02-12 01:28:34
home_letter	2	16384	2026-02-22 08:34:52
home_letter_reply	0	16384	2026-02-22 08:34:52
homeroom_common_activity	6	16384	2026-02-12 11:39:05
homeroom_counsel_log	1	16384	2026-02-24 03:26:17
homeroom_counsel_schedule	2	16384	2026-02-24 03:26:17
homeroom_notice	3	16384	2026-02-21 15:44:48
login_attempts	0	16384	2026-02-17 19:58:40
member	2371	327680	2026-02-21 16:39:43
message_room_members	1457	131072	2026-02-23 04:38:01
message_rooms	21	16384	2026-02-23 04:38:01
message_users	818	81920	2026-02-23 04:38:01
messages	88	16384	2026-02-23 04:38:01
notice	1	16384	2026-01-26 23:53:11
payment_history	0	16384	2026-01-21 00:52:32
point_deduction_log	0	16384	2026-02-21 01:36:23
point_history	0	16384	2026-02-22 01:11:52
push_subscriptions	3	16384	2026-02-20 12:20:31
schedule	4	16384	2026-02-12 03:22:02
school_meal	28	16384	2026-01-25 07:32:53
school_record_generated	2	16384	2026-02-12 12:26:56
schoolinfo	10550	2637824	2026-02-03 23:58:12
stu_all	1500	196608	2026-02-24 03:26:17
student_record	5	16384	2026-01-27 01:02:35
subject_assignment	12	16384	2026-02-13 14:50:25
subject_common_activity	6	16384	2026-02-13 08:36:59
subject_files	15	16384	2026-02-25 08:06:53
subject_record	4	16384	2026-02-13 08:44:22
subject_submission	7	16384	2026-02-13 14:50:25
support_inquiries	0	16384	2026-01-20 15:26:09
survey	1	16384	2026-02-25 01:14:51
survey_answer	2	16384	2026-02-25 01:14:51
survey_question	1	16384	2026-02-25 01:14:51
survey_response	2	16384	2026-02-25 01:14:51
tea_all	111	16384	2026-02-24 03:26:17
timetable	890	147456	2026-02-24 06:03:26
timetable_band_slots	32	16384	2026-02-26 09:11:16
timetable_changes	0	16384	2026-02-18 23:14:10
timetable_constraint	10	16384	2026-02-24 08:12:42
timetable_data	53	16384	2026-02-26 05:43:36
timetable_exchange	0	16384	2026-02-24 09:26:54
timetable_fixed_subject	2	16384	2026-02-24 08:59:17
timetable_stu	750	147456	2026-01-25 22:58:10
timetable_stu_group	1986	344064	2026-02-25 23:38:18
timetable_survey	1	16384	2026-02-18 15:59:38
timetable_tea	140	16384	2026-02-24 05:59:12
universities	443	163840	2026-02-01 04:54:24
verification	2	16384	2026-02-25 08:04:17
verification_student	0	16384	2026-02-16 16:48:07
